activity,activityuom,customershipto,customerpersonnum,productsalesusenum,Request_ID,Sequence
10,2,2100001471,3000068291,487,6000140550,2
10,2,2100001471,3000068291,487,6000140551,2
33,2,2100001471,810005639,487,6000140552,2
8,2,2100001471,810005639,487,6000140553,2
5.4,2,2100001471,340002460,14843,6000140554,2
8,2,2100001471,1000001980,3035,6000140555,2
33,2,2100001471,3000110106,483,6000140556,2
8,2,2100001471,810005639,487,6000140557,2
31,2,2100001471,810005639,487,6000140558,2
30,2,2100001471,140000822,522,6000140559,2
10,2,2100001471,140000822,4176,6000140560,2
45,2,2100001471,3000044253,3035,6000140561,2
10,2,2100001471,1000001980,398,6000140562,2
30,2,2100001471,1000001980,482,6000140563,2
14,2,2100001471,3000044253,3035,6000140564,2
15,2,2100001471,3000044253,3035,6000140565,2
43,2,2100001471,3000044253,483,6000140566,2
45,2,2100001471,3000044253,483,6000140567,2
35,2,2100001471,1000001980,483,6000140568,2
6,2,2100001471,1000001980,391,6000140569,2
8,2,2100001471,1000001980,3035,6000140570,2
35,2,2100001471,1000001980,483,6000140571,2
44,2,2100001471,3000044253,483,6000140572,2
33,2,2100001471,3000044253,483,6000140573,2
35,2,2100001471,1000001980,483,6000140574,2
6,2,2100001471,1000001980,391,6000140575,2
25,2,2100001471,1000001980,387,6000140576,2
15,2,2100001471,3000044253,3035,6000140577,2
45,2,2100001471,3000044253,483,6000140578,2
10,2,2100001471,3000044253,3035,6000140579,2
14,2,2100001471,3000044253,3035,6000140580,2
8,2,2100001471,1000001980,3035,6000140581,2
35,2,2100001471,1000001980,483,6000140582,2
8,2,2100001471,1000001980,3035,6000140583,2
35,2,2100001471,1000001980,483,6000140584,2
12,2,2100001471,3000044253,3035,6000140585,2
36,2,2100001471,3000044253,483,6000140586,2
6,2,2100001471,1000001980,391,6000140587,2
20,2,2100001471,1480001868,387,6000140588,2
20,2,2100001471,3000012252,349,6000140589,2
0.45,2,2100001471,3000012252,2635,6000140590,2
1,2,2100001471,3000012252,468,6000140591,2
30,2,2100001471,1000001980,482,6000140592,2
35,2,2100001471,1000001980,483,6000140593,2
20,2,2100001471,3000012252,349,6000140594,2
30,2,2100001471,3000044253,483,6000140595,2
2,2,2100001471,3000012252,2635,6000140596,2
10,2,2100001471,3000012252,398,6000140597,2
5,2,2100001471,3000012252,378,6000140598,2
1,2,2100001471,3000012252,468,6000140599,2
5,2,2100001471,3000012252,378,6000140600,2
30,2,2100001471,3000012252,430,6000140601,2
11,2,2100001471,3000044253,3035,6000140602,2
8,2,2100001471,1000001980,3035,6000140603,2
8,2,2100001471,3000074620,482,6000140604,2
24,2,2100001471,3000074620,482,6000140605,2
1.2,2,2100001471,3000042257,2634,6000140606,2
5.4,2,2100001471,340002461,14843,6000140607,2
10,2,2100001471,1000003052,4176,6000140608,2
30,2,2100001471,1000003052,522,6000140609,2
10,2,2100001471,1000003052,4176,6000140610,2
30,2,2100001471,1000003052,522,6000140611,2
10,2,2100001471,1000003052,4176,6000140612,2
10,2,2100001471,1000003052,4176,6000140613,2
30,2,2100001471,1000003052,522,6000140614,2
10,2,2100001471,1000003052,4176,6000140615,2
30,2,2100001471,1000003052,522,6000140616,2
30,2,2100001471,1000003052,522,6000140617,2
32,2,2100001471,1000003365,522,6000140618,2
28,2,2100001471,1000003365,522,6000140619,2
32,2,2100001471,1000003365,522,6000140620,2
9,2,2100001471,1000003365,4176,6000140621,2
8,2,2100001471,1000003365,4176,6000140622,2
7,2,2100001471,1000003365,4176,6000140623,2
8,2,2100001471,1000003365,4176,6000140624,2
36,2,2100001471,1000003365,522,6000140625,2
32,2,2100001471,1000003365,522,6000140626,2
7,2,2100001471,1000003365,4176,6000140627,2
28,2,2100001471,1000003365,522,6000140628,2
8,2,2100001471,1000003365,4176,6000140629,2
36,2,2100001471,1000003365,522,6000140630,2
9,2,2100001471,1000003365,4176,6000140631,2
8,2,2100001471,1000003365,4176,6000140632,2
7,2,2100001471,1000003365,4176,6000140633,2
32,2,2100001471,1000003365,522,6000140634,2
28,2,2100001471,1000003365,522,6000140635,2
32,2,2100001471,1000003365,522,6000140636,2
7,2,2100001471,1000003365,4176,6000140637,2
8,2,2100001471,1000003365,4176,6000140638,2
8,2,2100001471,1000003365,4176,6000140639,2
9,2,2100001471,1000003365,4176,6000140640,2
36,2,2100001471,1000003365,522,6000140641,2
28,2,2100001471,1000003365,522,6000140642,2
32,2,2100001471,1000003365,522,6000140643,2
30,2,2100001471,2010001745,521,6000140644,2
10,2,2100001471,2010001745,521,6000140645,2
30,2,2100001471,2010001745,521,6000140646,2
10,2,2100001471,2010001745,521,6000140647,2
30,2,2100001471,2010001745,15185,6000140648,2
